attributeName,attributeDefinition,n,ECSO_ID
Simplified vegetation,Simplified vegetation,1,
Simplified vegetation,Vegetation class determined in the field and confirmed with vegetation maps when possible.,1,
SiO4,Silicic acid concentration,1,
site,location where sample was taken,1,
site,MAT refers to moist acidic tundra; MNT refers to moist non-acidic tundra,1,
site,Name of stream or river.,1,
site,Sampling site,1,
site,Site - soil moisture type,1,
site,site code,1,
site,Site's soil moisture type,1,
Site,Location of soil core sample,1,
Site,MAT refers to moist acidic tundra; MNT refers to moist non-acidic tundra,1,
Site,Name of measurement site,1,
Site,Number corresponds to general region of samples collected,1,
Site,site name,1,
Site,"Site Name. If a soil site, the site is described in the name by general location then specific feature (e.g., watertrack) then specific sampling point (1,2,3,...). Lake and stream sites use common names (e.g., Toolik) or LTER number codes. Exceptions in naming procedure are provided in the Code Information and in the AK-LTER_Site_Info.xls file.",1,
Site,Site number,1,
Site,The site of percent cover measurement,1,
SITE,Ecosystem type of the site where sample was collected,1,
SITE,MAT refers to moist acidic tundra; MNT refers to moist non-acidic tundra,1,
SITE _MOISTURE,Site moisture code,1,
Site abbreviation,Site abbreviation,1,
Site abbreviation,Three letter abbreviation of feature name,1,
Site code,Site abbreviation plus the sample type,1,
Site Code,Site Code,1,
Site ID,"72B = 1972 burn, B = 2015 burn, U = unburned, number corresponds to replicate",1,
Site ID,"72B means 1972 burn, B means 2015 burn, U means unburned, the number following corresponds to the replicate",1,
Site ID,Lake #,1,
Site ID,"Site name: Some letter combinations are arbitrary others correspond to burn history: 72B = 1972 fires, B = 2015 fires, U = Unburned",1,
Site Notes,"Further information about where the sample was collected. ""WT"" means well transect.",1,
Site Number,Site number,1,
site type,"Ground cover classification see details: C=Undisturbed tundra-More than 5 m outside any visible disturbance with no apparent past or present thermokarst activity
M=Margins-Within 5 m of visible disturbance but have not experienced subsidence
I=Drapes-Subsided but vegetation is still attached to surrounding tundra 
V=Tundra rafts-Subsided and detached from surrounding tundra
E=Exposed-Surfaces where vegetation has been removed exposing bare mineral, Ambient=atmosphere sample collected at time of soil sampling, O=Outflow-exposed site located near the outflow of the feature, P=Point bar-redeposited sediment in the channel of a thermokarst surface flow, R=revegetated-site which was previously exposed but now is >80% covered by vegetation.",1,
Site type,Site type,1,
Site type,"Thermokarst morphology. Active layer detachment slide (ALD), thermo-erosion gully (GLY), retrogressive thaw slump (TS)",1,
Site_features,Site features,1,
Site_history,History of site,1,
site_name,Site lake name,1,
Site_name,Name of sampling site,1,
SITE.,MAT refers to moist acidic tundra; MNT refers to moist non-acidic tundra,1,
siteID,unique site ID,1,
siteName,Site name,1,
siteNumber,Site number,1,
Sitetype,"ground cover classification where measurement was taken. C (control), E (exposed), I (island/drape), M (margin), P (point bar), R (revegetated), S (solifluction lobe), V (raft)",1,
Size,Size class,1,
SLA,specific leaf area,1,
SLADEAD,specific leaf area of dead leaves,1,
SLALIVE,specific leaf area of live leaves,1,
SLO,Surface Slope,1,
Slope Ratio,Spectral slope ratio of chromophoric dissolved organic matter,1,
slope_ratio,Slope ratio of Chromophoric Dissolved Organic Matter (CDOM),1,
Slope_Ratio,Ratio between two spectral slopes (S) determined from non-linear relationships between the absorbance of chromophoric dissolved organic matter (CDOM) and the wavelength of light.,1,
SLP_error,SLP interpolation error variance,1,
Sm,Total Concentration of Samarium,1,
SMB,Surface Mass Balance (SMB~SF+RF-RU-SU-SW),1,
Sn,Total Concentration of Tin,1,
Sn_nmol.kg,"Concentration of tin ion in Lake 129 water sample, measured in nanomoles per kilogram of water",1,
Sn_nmol.kg,"Concentration of tin ion in Lake 520 water sample, measured in nanomoles per kilogram of water",1,
Sn_nmol.kg,"Concentration of tin ion in Lake 56 water sample, measured in nanomoles per kilogram of water",1,
Sn_nmol.kg,"Concentration of tin ion in Manta Lake  water sample, measured in nanomoles per kilogram of water",1,
Sn_nmol.kg,"Concentration of tin ion in North Head site 1  water sample, measured in nanomoles per kilogram of water",1,
Sn_nmol.kg,"Concentration of tin ion in North Head site 2  water sample, measured in nanomoles per kilogram of water",1,
Sn_nmol.kg,"Concentration of tin ion in Swiss Cheese Lake site 1  water sample, measured in nanomoles per kilogram of water",1,
Sn_nmol.kg,"Concentration of tin ion in Swiss Cheese Lake site 2  water sample, measured in nanomoles per kilogram of water",1,
snow_class,"Snow classification - ice cloud (IC), mixed-phase cloud (CLW), or indeterminate (IND)",1,
Snow_cover,Snow cover,1,
Snow_cover_estimate_date,Date when snow cover on flat areas was estimated at 50%,1,
Snow_Depth_Avg,Snow depth,1,
Snow_Depth_Zone,Snow depth zone,1,
Snow_end,End date of snow surveys,1,
Snow_interval,Snow interval,1,
snow_plot,Snow depth at the center of the plot,1,
Snow_present,Snow presence,1,
Snow_start,Start date of snow surveys,1,
snow_subplot,Snow depth at the center of the subplot,1,
Snow_survey,Snow cover survey,1,
Snowd1-Snowd10,Snow depth,1,
SnowDepth  L,Snow depth,1,
SO4 (uM),Sulfate,1,
SO4_uM,Sulfate,1,
Sodium (uM),Sodium,1,
Soil DIN mg/m2,Soil dissolved inorganic nitrogen pool scaled to 30cm depth for long cores and 15 cm for short cores,1,
Soil DON mg/m2,Soil dissolved organic nitrogen pool scaled to 30cm depth for long cores and 15 cm for short cores,1,
soil moisture %,Percent moisture in the soil: (wet - dry weight)/wet weight * 100,1,
Soil N g/m2,Soil total nitrogen pool scaled to 30cm depth for long cores and 15 cm for short cores,1,
Soil N-mg/mg,Proportion nitrogen in dry soil,1,
Soil Temp 10 cm,Soil Temp 10 cm,1,
Soil Temp 5cm,Soil Temp 5cm,1,
Soil Temperature,Soil Temperature was measured in degrees Celcius. The probe was inserted to a depth of 10 cm or the depth of thaw (if less than 10 cm). Each soil temperature value is the average of three successive measurements,1,
"Soil Temperature (10 cm, C)","Soil Temperature (10 cm, C)",1,
"Soil Temperature (5 cm, C)","Soil Temperature (5 cm, C)",1,
"Soil water content (0-12 cm, %)","Soil water content (0-12 cm, %)",1,
Soil water depth (cm),Depth from which soil water was collected.,1,
Soil_1_AVG,Soil temperature from sensor 11 at the 0 cm,1,
Soil_1_AVG  L,Soil temperature from sensor 1 at 5cm depth,1,
Soil_2_AVG,Soil temperature from sensor 12 at 5 cm,1,
Soil_2_AVG  L,Soil temperature from sensor 2 at 15cm depth,1,
Soil_3_AVG,Soil temperature from sensor 13at 10cm,1,
Soil_moisture_gravimetric,Gravimetric soil moisture measured in %,1,
Soil_moisture_volumetric,Volumetric soil moisture measured in %,1,
Soil_pH_paste,Soil pH,1,
soil_temp,soil temperature,1,
Soil_temperature,Soil temperature measured at 10 cm deep,1,
Soil_Temperature,temperature of soil,1,
Soil_Temperature,temperature of the soil when measurement was taken,1,
Soil_Volumetric_Moisture,ratio of water to soil volume,1,
Soil_Volumetric_Moisture,ratio of water volume to soil volume,1,
Soil11 (1cm),Soil temperature at site 1,1,
Soil12 (2cm),Soil temperature at site 1,1,
soil13 (5cm),Soil temperature at site 1,1,
Soil14(10cm),Soil temperature at site 1,1,
Soil15(20cm),Soil temperature at site 1,1,
Soil2_1_AVG  L,Soil temperature from sensor 3 at 0cm depth,1,
Soil2_2_AVG  L,Soil temperature from sensor 4 at 20cm depth,1,
Soil21 (1cm),Soil temperature at site 2,1,
Soil22 (2cm),Soil temperature at site 2,1,
soil23 (5cm),Soil temperature at site 2,1,
Soil24(10cm),Soil temperature at site 2,1,
Soil25(20cm),Soil temperature at site 2,1,
Soil31 (1cm),Soil temperature at site 3,1,
Soil32 (2cm),Soil temperature at site 3,1,
soil33 (5cm),Soil temperature at site 3,1,
Soil34(10cm),Soil temperature at site 3,1,
Soil35(20cm),Soil temperature at site 3,1,
Soil41 (1cm),Soil temperature at site 4,1,
Soil42 (2cm),Soil temperature at site 4,1,
soil43 (5cm),Soil temperature at site 4,1,
Soil44(10cm),Soil temperature at site 4,1,
Soil45(20cm),Soil temperature at site 4,1,
Soil51 (1cm),Soil temperature at site 5,1,
Soil52 (2cm),Soil temperature at site 5,1,
soil53 (5cm),Soil temperature at site 5,1,
Soil54(10cm),Soil temperature at site 5,1,
Soil55(20cm),Soil temperature at site 5,1,
soilmoist,"soil moisture measured near the two collars ""milivolts (these are raw TDR data, and have not been calibrated against volumetric soil moisture)""",1,
soilmoistureperc,soil moisture on a dry weight basis (%),1,
SoilT1_0_AVG? L,Soil temperature at the indicated depth from profile 1,1,
SoilT1_15_Avg,Soil temperature at the indicated depth from profile 1,1,
SoilT1_15_AVG? L,Soil temperature at the indicated depth from profile 1,1,
SoilT1_30_Avg,Soil temperature at the indicated depth from profile 1,1,
SoilT1_30_AVG? L,Soil temperature at the indicated depth from profile 1,1,
SoilT1_40_Avg,Soil temperature at the indicated depth from profile 1,1,
SoilT1_40_AVG? L,Soil temperature at the indicated depth from profile 1,1,
SoilT1_5_Avg,Soil temperature at the indicated depth from profile 1,1,
SoilT1_5_AVG? L,Soil temperature at the indicated depth from profile 1,1,
SoilT1_Surf_Avg,Soil temperature at the indicated depth from profile 1,1,
SoilT2_0_AVG? L,Soil temperature at the indicated depth from profile 2,1,
SoilT2_15_Avg,Soil temperature at the indicated depth from profile 2,1,
SoilT2_15_AVG? L,Soil temperature at the indicated depth from profile 2,1,
SoilT2_30_Avg,Soil temperature at the indicated depth from profile 2,1,
SoilT2_30_AVG? L,Soil temperature at the indicated depth from profile 2,1,
SoilT2_40_Avg,Soil temperature at the indicated depth from profile 2,1,
SoilT2_40_AVG? L,Soil temperature at the indicated depth from profile 2,1,
SoilT2_5_Avg,Soil temperature at the indicated depth from profile 2,1,
SoilT2_5_AVG? L,Soil temperature at the indicated depth from profile 2,1,
SoilT2_Surf_Avg,Soil temperature at the indicated depth from profile 2,1,
SoilT3_15_Avg,Soil temperature at the indicated depth from profile 3,1,
SoilT3_30_Avg,Soil temperature at the indicated depth from profile 3,1,
SoilT3_40_Avg,Soil temperature at the indicated depth from profile 3,1,
SoilT3_5_Avg,Soil temperature at the indicated depth from profile 3,1,
SoilT3_Surf_Avg,Soil temperature at the indicated depth from profile 3,1,
SoilT4_15_Avg,Soil temperature at the indicated depth from profile 4,1,
SoilT4_30_Avg,Soil temperature at the indicated depth from profile 4,1,
SoilT4_40_Avg,Soil temperature at the indicated depth from profile 4,1,
SoilT4_5_Avg,Soil temperature at the indicated depth from profile 4,1,
SoilT4_Surf_Avg,Soil temperature at the indicated depth from profile 4,1,
SoilTemp_1,Soil Temperature at 1cm in Celcius,1,
SoilTemp_10,Soil Temperature at 10cm in Celcius,1,
Soiltype,Organic or mineral soil,1,
SoilType,Soil type of sample,1,
SOL,Soil Type,1,
Sort number,Analysis code,1,
SortChem,"A unique number assigned to each sample collected at a specific site at a specific date and time. The year that the sample was collected is followed by a dash and then a sequential number. For example, if 600 samples were collected in 2002, then the first sample collected is 2002-0001 and the last sample is 2002-0600.",1,
Sound_velocity,Sound velocity,1,
SP,Data from ERA-I ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
SP,Surface Pressure,1,
SPAR,Photosynthetic Photon Flux Density,1,
spec_cond,Specific conductivity,1,
species,Four-letter code of the species trapped,1,
species,Species collected,1,
Species,Four-letter code of the potential predator for which a nest or den was found.,1,
Species,Four-letter species code,1,
Species,Four-letter species code name of rodents and potential predators of shorebirds,1,
Species,Krill species,1,
Species,Plant genus and species,1,
Species,Plant species six-letter codon abbreviation,1,
Species,Plant Species six-letter codon abbreviation,1,
Species,Species,1,
Species,The species sampled or a lumped group. Other groups contained all other species within that growth form; see 2001lgshttbm.dat for other species present in each block,1,
SPECIES,"species are named with the first 3 letters of the genus and the first 3 letters of the specific epithet; e.g., Betnan is Betula nana",1,
Species ,Genus and species name,1,
Species Biomass (%),Percent species/functional group biomass of the harvested plot total,1,
Species C % of total biomass,Percent species/functional group biomass of the harvested plot total,1,
Species full name,"Scientific name, if known",1,
Species N % of total biomass,Percent species/functional group biomass of the harvested plot total,1,
Species N g/m2,"Sample N proportion multiplied by biomass. For those proportions measured separately by stems and leaves, literature values were used to split biomass into leaf and stem pools.",1,
Species_1,First hit along vertical laser,1,
Species_2,Hit along vertical laser below Species_1,1,
Species_3,Hit along vertical laser below Species_2,1,
Species_4,Hit along vertical laser below Species_3,1,
Species_5,Hit along vertical laser below Species_4,1,
Species_6,Hit along vertical laser below Species_5,1,
SPECIES.,"Species are named with the first 3 letters of the genus and the first 3 letters of the specific epithet; e.g., Betnan is Betula nana",1,
Specific Conductivity (uS/cm),Water specific conductivity,1,
Specific_Humidity,Water vapor concentration,1,
SPH,Hourly Surface Pressure,1,
SPM,Suspended particulate material,1,
SPM_mg_L,Suspended particulate material,1,
Sr,Total Concentration of Stronium,1,
Sr (uM),Strontium,1,
Sr cps,Strontium as counted per second.,1,
Sr_umol.kg,"Concentration of strontium ion in Lake 129 water sample under fast flow conditions, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in Lake 129 water sample, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in Lake 520 water sample, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in Lake 56 water sample, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in Manta Lake  water sample, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in North Head site 1  water sample, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in North Head site 2  water sample, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in Swiss Cheese Lake site 1  water sample, measured in micromoles per kilogram of water",1,
Sr_umol.kg,"Concentration of strontium ion in Swiss Cheese Lake site 2  water sample, measured in micromoles per kilogram of water",1,
SRF,Surface Type,1,
Sructure,Soil structure description,1,
SS_Dif_R_AVG  L,Diffuse radiation,1,
SS_Difuse_AVG,Diffuse radiation,1,
SSL,Soil Saturated Layer in cm,1,
ST,Surface Temperature,1,
ST2,Surface Temperature,1,
STAB,Data from ERA-I ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
Stage,Age class of the invertebrate taxon in the sample,1,
Stage,Station name,1,
stageFnd,Breeding stage at which nest was found,1,
Start,Date that crew member started participating in field work,1,
start lat,Starting latitude,1,
start long,Starting longitude,1,
start_date,Start date of collection,1,
start_date,Start date of sample collection,1,
Start_lat,latitude of the beginning of the survey,1,
Start_lat,Latitude of the beginning of the survey in decimal degrees,1,
Start_lon,longitude of the beginning of the survey,1,
Start_lon,Starting longitude,1,
Start_time,Time of arrival on plot/search area,1,
Start_Time,The time the water sample started being taken. In Alaska Daylight Time (AKDT),1,
starttime,Start time of measurement in decimal year,1,
Station,code for station sample was taken,1,
Station,Sequential dive number,1,
Station,Station,1,
Station,station in the estuary,1,
Station,Station number and cast,1,
Station,Station where sample was collected,1,
STATION,Station name,1,
station_depth,Station water depth,1,
Station_name,station name,1,
Station_Short,Short station name,1,
STATION_SHORT,Station number,1,
stationID,Station ID,1,
StationID,"Internal station naming (year (4 digits), ship code (2 digits), cruiseID (2 digits), and station number (3 digits).",1,
StationName,Name of station where data has been collected historically under a different name at the current DBO location,1,
StationNumber,consecutive through survey for each time the ship stops and gear enters the water,1,
std error cell counts per ml,standard error of cell counts in counts per milliliter,1,
std error copy number per ml,standard deviation of number of 16S rRNA gene copies per milliliter,1,
std error VLP counts per ml,standard error of VLP (virus like particle) counts per milliliter,1,
Std_PZE,Data from POLDER-MODIS: POLDER-MODIS data are used to obtain cloud microphysical properties see details on POLDER at Breon and Colzy (1999) (doi: 10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301)10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301),1,
Stems N mg/mg,Proportion of N in the tissue (stems) for species/functional group sample,1,
Stn,station number,1,
STNNBR,Station and cast number,1,
SU,Sublimation and evaporation,1,
Subcategory1,Subcategory1,1,
Subcategory2,Subcategory2,1,
Submergence Percent,Percentage of the time over the hour that buoy submerged into Polar Ocean,1,
Subplot,"Sub plot letter of measurement-A,B,C and D are subplots",1,
subregion,Subregion,1,
Subsample,Subsample from which sample was taken,1,
subvalley_year_ID,Valley and year of study,1,
Sulfate,The amount of Sulfate.,1,
Summer_only_field_camp,Summer only field camp,1,
surf_temp,ground temperature,1,
SURFACE_DUST_DEPTH,Depth of surface dust measured from a soil plug,1,
"SURFACE_DUST_DEPTH	",Depth of surface dust measured from a soil plug,1,
Survey_area,Survey area identifier,1,
susc,A measurement of the magnetic properties of the sample.,1,
SUVA,Specific ultraviolet absorbance at 254 nm,1,
suva_254,Specific ultraviolet absorbancy at 254 nm.,1,
Sw,Vertical salt flux.,1,
SW,Surface Water,1,
SW,w or c,1,
SWC,"Soil water content (volumetric), range 0-100",1,
SWC_1_AVG  L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC_3_AVG  L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC_4_AVG  L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC1_0_10_AVG? L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC1_0_20_AVG? L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC1_0_30_AVG? L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC2_0_10_AVG? L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC2_0_20_AVG? L,Soil moisture at the indicated depth (volumetric water content %),1,
SWC2_0_30_AVG? L,Soil moisture at the indicated depth (volumetric water content %),1,
SWD,Short Wave Downward,1,
SWDH,Hourly Short Wave Downward,1,
SWSN,Surficial Water Specific Mass,1,
SWT,Sapwood thickness,1,
sza,"solar zenith angle, 0 degrees = zenith, 90 degrees = at horizon",1,
T,Temperature.,1,
T_1000,Data from ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
T_500,Data from ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
T_700,Data from ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
T_850,Data from ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
T_925,Data from ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
T_ALBEDO,Shortwave albedo,1,
T_SONIC,Sonic temperature,1,
T_Temp_C_AVG  L,Surface temperature from the infrared sensor,1,
T_Temp_C_AVG? L,Surface temperature from the infrared sensor,1,
T_VALIDY,Validy is sum of other valid so if all valid then validy=8,1,
t0,first temperature measurement,1,
t1,second temperature measurement,1,
T1000,Data from ERA-I ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
T10cm,Soil temperature at 10cm below the surface,1,
t10m,10 meter temperature from NOAA GMD,1,
T1S,Air temperature - oC,1,
T20cm,Soil temperature at 20cm below the surface,1,
t2m,2 meter temperature from NOAA GMD,1,
T2S,Air temperature - oC,1,
T40cm,Soil temperature at 40cm below the surface,1,
T5cm,Soil temperature at 5cm below the surface,1,
T700,Data from ERA-I ECMWF: Reanalysis ERA-I from ECMWF see Berrisford et al. (2011) (url: http://www.ecmwf.int/publications/library/do/references/list/782009) and Dee et al. (2011) (doi: 10.1002/qj.828) for more information,1,
TA,Total Alkalinity,1,
TA_FLAG_W,Quality flag of Alkalinity,1,
tag_time,Time that the vole or lemming received an ear-tag,1,
tag#,Tag ID,1,
Tair_hmp_Avg,Air temperature,1,
TAIRT1,Air temperature 590cm (oC),1,
TAIRT2,Air temperature 200cm (oC),1,
TARE,Tare weight,1,
Target_Depth,depth of measured sample,1,
TargTempC_Avg,Surface temperature from infrared sensor,1,
Tarsus,"Diagonal tarsus, measured with calipers from indentation below the tarsal joint to the indentation above the longest toe, measured to nearest 0.1 mm.  See ASDN_Protocol.pdf for further details.",1,
TAU,Data from POLDER-MODIS; used to obtain cloud microphysical properties see details on POLDER at Breon and Colzy (1999) (doi: 10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301),1,
TAU,Data from POLDER-MODIS: POLDER-MODIS data are used to obtain cloud microphysical properties see details on POLDER at Breon and Colzy (1999) (doi: 10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301)10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301),1,
TAU,Momentum flux,1,
Tau_mean,Tau (PAM),1,
Tau_mean_error,Mean error of Tau,1,
Tau_mean_error_FLAG_W,Quality flag of Tau mean error,1,
Tau_mean_FLAG_W,Quality flag of Tau,1,
Tau_prop_error,Propagated error of Tau,1,
Tau_prop_error_FLAG_W,Quality flag of Tau propagated error,1,
Taxon,Taxonomy,1,
Tch,Thermal conductive heating,1,
TD,Depth of thaw in cm,1,
TD1(9.1m),Air temperature,1,
TD2(5.3m),Air temperature,1,
TD3(2.1m),Air temperature,1,
tdn,total dissolved nitrogen,1,
TDN,Total Dissolved Nitrogen (TDN),1,
TDN (uM),Total dissolved nitrogen,1,
TDN_Mineralization_ug_per_d_g_soil,Total dissolved nitrogen (TDN) mineralization,1,
TDN_uM,Total dissolved nitrogen,1,
TDP_uM,Total dissolved phosphorus,1,
Team_count,Did more than one person conduct the survey together?,1,
TEC,Total Exchange Capacity (meq/100 g),1,
TelsonL,Length of the telson,1,
temp,chamber temperature during measurement (C),1,
temp,Temperature at measurement site.,1,
Temp,Temperature,1,
Temp,The temperature at the point. Corrected to microcat temperature for sensor offset (-0.11 C),1,
TEMP,Water temperature,1,
Temp_C,"Sample water temperature, deg C",1,
Temp_C,"water temperature from Lake 129, measured in celsius ",1,
Temp_C,"water temperature from Lake 520, measured in celsius ",1,
Temp_C,"water temperature from Lake 56, measured in celsius ",1,
Temp_C,"water temperature from Manta Lake , measured in celsius ",1,
Temp_C,"water temperature from North Head site 1 , measured in celsius ",1,
Temp_C,"water temperature from North Head site 2 , measured in celsius ",1,
Temp_C,"water temperature from Swiss Cheese Lake site 1, measured in celsius ",1,
Temp_C,"water temperature from Swiss Cheese Lake site 2, measured in celsius ",1,
Temp_C_Avg(1),Soil temperature at 10 cm (C); sensor 1,1,
Temp_C_Avg(2),Soil temperature at 10 cm (C); sensor 2,1,
Temp_C_Avg(3),Soil temperature at 10 cm (c); sensor 3,1,
temp_centigrade,Air temperature in celsius,1,
Temp-2m_C,Temperature of the lake sediment at 2 meters depth below the lake bed,1,
Temp.DOZER,"Temperature, met station",1,
Temp.HOBO,"Temperature, hobo measure",1,
Temp.LDF2,Temperature,1,
Temp0_Avg,Water temperature measured at 0m below surface,1,
Temp1_Avg,Water temperature measured at 1m below surface,1,
Temp2_Avg,Water temperature measured at 2m below surface,1,
Temp25_Avg,Water temperature measured at 0.25m below surface,1,
Temp3_Avg,Water temperature measured at 3m below surface,1,
Temp4_Avg,Water temperature measured at 4m below surface,1,
Temp5_Avg,Water temperature measured at 5m below surface,1,
Temp50_Avg,Water temperature measured at 0.5m below surface,1,
Temp6_Avg,Water temperature measured at 6m below surface,1,
Temp7_Avg,Water temperature measured at 7m below surface,1,
Temp75_Avg,Water temperature measured at 0.75m below surface,1,
Temp8_Avg,Water temperature measured at 8m below surface,1,
Temperature,Temperature (CTD sensor),1,
Temperature,temperature in Celsius,1,
Temperature,Temperature in degrees celsius,1,
Temperature,Temperatute in degrees C,1,
TEMPERATURE,The mean temperature of two measurements,1,
Temperature (deg-C),Water temperature,1,
Temperature2,"Temperature (CTD sensor, 2nd)",1,
TempSed-90cm_C,Temperature of the lake sediment at 90 centimeters depth below the lake bed,1,
TempSurface,Temperature at lake surface,1,
TempTop,Data from POLDER-MODIS; used to obtain cloud microphysical properties see details on POLDER at Breon and Colzy (1999) (doi: 10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301),1,
tephras,"Tephra is fragmental material produced by a volcanic eruption regardless of composition, fragment size or emplacement mechanism.",1,
Terre_food_end,End date when terrestrial food resources traps were removed,1,
Terre_food_interval,Terrestrial food collection interval,1,
Terre_food_start,Start date when terrestrial food resources traps were deployed,1,
Terre_prey,Was the observer primarily engaged in this activity while recording data for the daily species list?,1,
Texture,Soil texture description,1,
"tfm_1, ... tfm_6",Flight Feather Molt Scores - tertials 1-6,1,
TH1_QV,1 Organic soil moisture content using algorithm of Hinzman (%),1,
TH1WATER,Hydra soil moisture top 10cm no organic correction (m3/m3),1,
TH2_QV,2 Organic soil moisture content using algorithm of Hinzman (%),1,
TH2WATER,Hydra soil moisture top 10cm no organic correction (m3/m3),1,
TH3_QV,3 Organic soil moisture content using algorithm of Hinzman (%),1,
TH3WATER,Hydra soil moisture top 10cm no organic correction (m3/m3),1,
TH4_QV,4 Organic soil moisture content using algorithm of Hinzman (%),1,
TH4WATER,Hydra soil moisture top 10cm no organic correction (m3/m3),1,
TH5_QV,5 Organic soil moisture content using algorithm of Hinzman (%),1,
TH5WATER,Hydra soil moisture top 10cm no organic correction (m3/m3),1,
TH6_QV,6 Organic soil moisture content using algorithm of Hinzman (%),1,
TH6WATER,Hydra soil moisture top 10cm no organic correction (m3/m3),1,
TH7_QV,7 Organic soil moisture content using algorithm of Hinzman (%),1,
TH7WATER,Hydra soil moisture top 10cm no organic correction (m3/m3),1,
Thaw Depth,Depth to frozen ground,1,
Thaw Depth,"Thaw depths indicate the
distance from the surface to the depth of the permafrost",1,
Thaw depth (cm) =moss+OL,"Thaw depth measured in soil pit, includes live moss/lichen layer + thawed organic layer below",1,
Thaw_depth,"Thaw depth measured using a metal probe, from frozen ground to the top of the lichen/moss layer",1,
THAW_DEPTH,Depth of thaw,1,
THAW_DEPTH ,Depth of thaw,1,
THAW_DEPTH_AT_FLAG,Thaw depth at flag measured using a 1-m steel probe,1,
"THAW_DEPTH_AT_FLAG	",Thaw depth at flag measured using a 1-m steel probe,1,
Thaw_depth_cm,Thaw depth,1,
Thaw_depth_inside,Thaw depth cm (inside),1,
Thaw_depth_outside,Thaw depth cm (outside),1,
thaw1,thaw depth measured near collar a,1,
thaw2,thaw depth measured near collar b,1,
Thawed soil depth (cm),Soil depth is thawed layer (here all organic) below live moss/lichen layer,1,
